seed,agent_a,agent_b,turns,placement_a,placement_b,score_a,turns_survived_a,turns_survived_b,final_length_a,final_length_b
21,Heuristic,MCTS-Prior,2,1,2,1.0,2,2,3,3
22,Heuristic,MCTS-Prior,161,1,2,1.0,161,161,25,15
23,Heuristic,MCTS-Prior,97,1,2,1.0,97,97,14,13
24,Heuristic,MCTS-Prior,200,2,1,0.0,200,200,22,31
25,Heuristic,MCTS-Prior,2,1,2,1.0,2,2,3,4
26,Heuristic,MCTS-Prior,135,1,2,1.0,135,135,20,18
27,Heuristic,MCTS-Prior,32,1,2,1.0,32,32,6,5
28,Heuristic,MCTS-Prior,160,1,2,1.0,160,160,19,23
29,Heuristic,MCTS-Prior,2,1,2,1.0,2,2,3,3
30,Heuristic,MCTS-Prior,147,1,2,1.0,147,147,16,15
31,Heuristic,MCTS-Prior,2,1,2,1.0,2,2,3,3
32,Heuristic,MCTS-Prior,2,1,2,1.0,2,2,3,3
33,Heuristic,MCTS-Prior,2,1,2,1.0,2,2,3,3
34,Heuristic,MCTS-Prior,2,1,2,1.0,2,2,3,3
35,Heuristic,MCTS-Prior,130,1,2,1.0,130,130,9,16
36,Heuristic,MCTS-Prior,123,1,2,1.0,123,123,17,16
37,Heuristic,MCTS-Prior,2,1,2,1.0,2,2,4,3
38,Heuristic,MCTS-Prior,187,2,1,0.0,187,187,25,33
39,Heuristic,MCTS-Prior,2,1,2,1.0,2,2,3,3
0,Heuristic,MCTS-Opponent,200,2,1,0.0,200,200,19,21
1,Heuristic,MCTS-Opponent,200,1,2,1.0,200,200,26,19
2,Heuristic,MCTS-Opponent,200,2,1,0.0,200,200,25,26
3,Heuristic,MCTS-Opponent,200,1,2,1.0,200,200,23,20
4,Heuristic,MCTS-Opponent,200,1,2,1.0,200,200,24,24
5,Heuristic,MCTS-Opponent,185,2,1,0.0,185,185,20,23
6,Heuristic,MCTS-Opponent,34,1,2,1.0,34,34,5,3
7,Heuristic,MCTS-Opponent,162,2,1,0.0,162,162,30,11
8,Heuristic,MCTS-Opponent,200,1,2,1.0,200,200,26,26
9,Heuristic,MCTS-Opponent,72,2,1,0.0,72,72,12,18
10,Heuristic,MCTS-Opponent,65,1,2,1.0,65,65,6,12
11,Heuristic,MCTS-Opponent,157,1,2,1.0,157,157,25,22
12,Heuristic,MCTS-Opponent,168,2,1,0.0,168,168,21,21
13,Heuristic,MCTS-Opponent,153,2,1,0.0,153,153,17,19
14,Heuristic,MCTS-Opponent,147,2,1,0.0,147,147,17,18
15,Heuristic,MCTS-Opponent,67,1,2,1.0,67,67,11,6
16,Heuristic,MCTS-Opponent,200,1,2,1.0,200,200,35,23
17,Heuristic,MCTS-Opponent,200,2,1,0.0,200,200,23,30
18,Heuristic,MCTS-Opponent,200,2,1,0.0,200,200,23,24
19,Heuristic,MCTS-Opponent,200,1,2,1.0,200,200,23,21
20,Heuristic,MCTS-Opponent,200,1,2,1.0,200,200,28,22
21,Heuristic,MCTS-Opponent,200,2,1,0.0,200,200,27,29
22,Heuristic,MCTS-Opponent,200,1,2,1.0,200,200,30,20
23,Heuristic,MCTS-Opponent,200,1,2,1.0,200,200,27,27
24,Heuristic,MCTS-Opponent,47,2,1,0.0,47,47,7,8
25,Heuristic,MCTS-Opponent,135,1,2,1.0,135,135,13,18
26,Heuristic,MCTS-Opponent,84,2,1,0.0,84,84,8,11
27,Heuristic,MCTS-Opponent,120,2,1,0.0,120,120,17,23
28,Heuristic,MCTS-Opponent,84,2,1,0.0,84,84,6,15
29,Heuristic,MCTS-Opponent,115,1,2,1.0,115,115,18,15
